model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
Ablation: CM Only,2.421438694000244e-07,0.30275482093663914,0.5066248506571087,0.25895814513700693,0.9247311827956989,0.08851851851819068,0.4046106798400376,0.4793793309438471
Ablation: SC Only,0.6373921036720276,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: Task-Aware MLP,-1.868822693824768,0.2898071625344353,0.5063799283154122,0.25878220140515223,0.9505376344086022,0.06222222222199177,0.4068108605614358,0.47877160493827164
Ablation: Linear Fusion (No Interaction),0.6006744503974915,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: Linear + Interaction,0.6006744503974915,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: QFL - Interaction,0.4918033480644226,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8645234966148945
Ablation: QFL - Cm^2,0.4918033480644226,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8645234966148945
Ablation: QFL - Sc^2,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.13473516527279966
Ablation: Full QFL,0.4918033480644226,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8645234966148945
Ablation: Quadratic Only,1.3417494297027588,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: CM + SC Naive,0.6373923420906067,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: Random Weights,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.1347351652727997
Ablation: Shuffled Labels,0.16537481546401978,0.5724517906336088,0.515573476702509,0.2719941348973607,0.3989247311827957,0.6322222222198807,0.3234524847428073,0.5030874153723616
