model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
Ablation: Imaging Only (Cm),-0.009615212678909302,0.30275482093663914,0.5066248506571087,0.25895814513700693,0.9247311827956989,0.08851851851819068,0.4046106798400376,0.4793793309438471
Ablation: Structured Only (Sc),0.94,0.7506887052341598,0.5134408602150538,1.0,0.026881720430107527,0.9999999999962963,0.05235602094240838,0.8652648347272003
Ablation: Naive Sum Fusion,0.01449008658528328,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652644364794901
DCS Fusion,-0.36289262771606445,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: Label Shuffling Control,-0.4210021197795868,0.4471074380165289,0.5236559139784946,0.2701664532650448,0.6806451612903226,0.36666666666530867,0.386801099908341,0.5202240143369176
Ablation: Noise σ=0.05,-0.3744686189729956,0.6702479338842975,0.6475746714456392,0.4036101083032491,0.6010752688172043,0.6940740740715035,0.48293736501079915,0.6950669056152927
Ablation: Noise σ=0.1,-0.3413909512818768,0.6261707988980716,0.5756511350059736,0.3363984674329502,0.4720430107526882,0.6792592592567435,0.39284116331096197,0.6003823178016726
Ablation: Noise σ=0.2,-0.3929001363299328,0.5292011019283747,0.5390143369175626,0.28587135788894996,0.5591397849462365,0.518888888886967,0.3783193888686795,0.5455830346475509
Ablation: Noise σ=0.3,-0.17632559983063215,0.6046831955922864,0.5249044205495819,0.2854715378079864,0.36129032258064514,0.6885185185159685,0.31893687707641194,0.5266479490242931
Ablation: Structured + Noise,0.028175514852635558,0.6261707988980716,0.5756511350059736,0.3363984674329502,0.4720430107526882,0.6792592592567435,0.39284116331096197,0.6003827160493826
