model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
Ablation: CM Backbone Only,2.421438694000244e-07,0.30275482093663914,0.5066248506571087,0.25895814513700693,0.9247311827956989,0.08851851851819068,0.4046106798400376,0.4793793309438471
Ablation: SC Only,0.6373921036720276,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: Task-Aware CM (MLP),0.3796178102493286,0.5807162534435262,0.5281780167264039,0.28457059679767105,0.4204301075268817,0.6359259259235707,0.3394097222222222,0.5261186778176026
Ablation: Linear Fusion (No Interaction),0.6006744503974915,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: Linear + Interaction,0.6006744503974915,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: QFL - Cross-Modal Interaction,0.4918033480644226,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8645234966148945
Ablation: QFL - Cm^2 Term Removed,0.4918033480644226,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8645234966148945
Ablation: QFL - Sc^2 Term Removed,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.13473516527279966
Ablation: Full QFL,0.4918033480644226,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8645234966148945
Ablation: Quadratic Only,1.3417494297027588,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: CM + SC Naive Sum,0.6373923420906067,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: Random Weight Fusion,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.1347351652727997
Ablation: Label Shuffling Test,0.16537481546401978,0.5724517906336088,0.515573476702509,0.2719941348973607,0.3989247311827957,0.6322222222198807,0.3234524847428073,0.5030874153723616
Ablation: QFL - Only Cm Backbone,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.5
Ablation: QFL - Only Sc,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.13473516527279966
