model,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc
Ablation: CM Backbone Only,-0.009615212678909302,0.30275482093663914,0.5066248506571087,0.25895814513700693,0.9247311827956989,0.08851851851819068,0.4046106798400376,0.4793793309438471
Ablation: SC Only,0.5,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.8652648347272003
Ablation: Task-Aware CM (MLP),0.4088984727859497,0.6168044077134986,0.5059139784946236,0.26455566905005107,0.278494623655914,0.7333333333306173,0.2713462545835516,0.4934221425726802
Ablation: DCS Linear Fusion,-0.36289262771606445,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: DCS Linear + Interaction,-0.36289262771606445,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652648347272003
Ablation: QFL - Cross-Modal Interaction Removed,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.13473516527279966
Ablation: QFL - Cm^2 Term Removed,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.13473516527279966
Ablation: QFL - Sc^2 Term Removed,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.1347351652727997
Ablation: Full QFL,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.13473516527279966
Ablation: Quadratic Only,0.2291392683982849,0.8958677685950414,0.8355436081242533,0.8575129533678757,0.7118279569892473,0.9592592592557064,0.7779083431257344,0.844710872162485
Ablation: CM + SC Naive Sum,0.01449008658528328,0.9236914600550964,0.8556571087216249,0.9808541973490427,0.7161290322580646,0.9951851851814993,0.8278433809819764,0.8652644364794901
Ablation: Random Weight Fusion,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.13473516527279966
Ablation: Label Shuffling Test,0.2549722194671631,0.6685950413223141,0.5083034647550777,0.2751235584843493,0.17956989247311828,0.837037037033937,0.2173064411190631,0.4950993628036639
Ablation: QFL - Only Cm Backbone,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.5
Ablation: QFL - Only Sc,inf,0.743801652892562,0.5,0.0,0.0,0.9999999999962963,0.0,0.1347351652727997
